species,Atlantic,tree number,SL min,log SL min,SL max,log SL max,rep LW ratio,rep PMD,rep biovolume,log biovolume,min egg diam ,log min ed,max egg diam,log max ed,min eggs cap,log min cap,max eggs cap,log max cap,egg mass type,crawl juv,veliger,predation,verm pred,mol pred,pisc pred,sand,rock,reef,rubble,mud,habitat gen,min depth,max depth,depth range,intertidal,minLat,maxLat,minLong,maxLong,Lat.Range,Long.Range,area.km2,calcite.MEAN,chlomean.MEAN,chlomean.STD,nitrate.MEAN,ph.STD,phosphate.MEAN,salinity.MEAN,salinity.STD,silicate.MEAN,sstmean.MEAN,sstmean.STD,resid
mus,1,1,19,1.28,55,1.74,1.64,0.67,30547.88,4.48,120,2.08,242,2.38,500,2.7,700,2.85,1,0,1,V,1,0,0,0,1,0,1,0,1,0,47,47,1,7.875,32.45833333,262.125,300.5416667,24.58333333,38.4166667,873450.0967,0.00559368,3.01331,5.55361,1.24839,0.0769745,0.162934,34.8535,2.26983,2.64915,26.6338,1.92277,-0.09475618
coffeae,0,2,28,1.45,51,1.71,1.69,0.73,6912,3.84,222,2.35,222,2.35,450,2.65,500,2.7,,0,1,V,1,0,0,1,0,1,0,0,1,2,30,28,0,-33.20833333,41.04166667,96.375,225.125,74.25,128.75,6715535.546,0.00520661,1.28662,2.0321,0.935602,0.106463,0.231104,33.4799,1.08856,5.70185,26.9556,4.30624,-0.155707086
glans,0,3,27,1.43,60,1.78,2.38,0.58,9728,3.99,341,2.53,440,2.64,37,1.57,53,1.72,1,0,1,V,1,0,0,1,1,1,0,0,1,2,30,28,0,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9198796.63,0.00524799,1.37718,2.04824,0.95823,0.0970013,0.24205,33.8321,1.59907,5.2557,27.267,3.78979,-0.067919672
anemone,0,4,30,1.48,93,1.97,2.14,0.67,19845,4.3,300,2.48,830,2.92,15,1.18,65,1.81,1,1,0,V,1,0,0,1,1,1,0,0,1,0,40,40,1,-44.04166667,-11.20833333,112.2083333,156.2083333,32.83333334,44,1250605.441,0.00166687,0.610596,1.03301,0.696385,0.0711622,0.163042,35.4506,0.500372,2.222,21.9726,4.87979,0.230650872
balteatus,0,5,25,1.4,47,1.67,1.72,0.71,12002.25,4.08,310,2.49,310,2.49,421,2.62,448,2.65,1,0,1,V,1,0,0,0,1,1,1,0,1,0,30,30,1,-33.20833333,28.70833333,32.54166667,189.2916667,61.91666666,156.75,6174429.765,0.0039724,1.01053,1.68981,0.677968,0.107793,0.207982,33.847,0.917965,5.07029,28.6309,1.50841,-0.026024055
biliosus,0,6,25,1.4,64,1.81,1.65,0.81,28356.26,4.45,160,2.2,180,2.26,1000,3,1410,3.15,1,0,1,V,1,0,0,1,1,1,0,1,1,0,3,3,1,-28.04166667,26.875,32.54166667,162.4583333,54.91666667,129.9166666,6765267.528,0.00479016,1.22834,1.91505,0.701777,0.104918,0.227257,33.6777,1.20545,5.0432,28.6969,1.38685,-0.152854368
varius,0,7,35,1.54,61,1.79,2.09,0.66,8576,3.93,160,2.2,166,2.22,1700,3.23,2700,3.43,1,0,1,V,1,0,0,1,1,1,0,0,1,0,240,240,1,-33.20833333,28.70833333,32.54166667,225.125,61.91666666,192.5833333,6565735.955,0.00390594,0.990992,1.66755,0.665464,0.10392,0.208336,33.8225,0.941896,4.98637,28.6432,1.46803,-0.135079344
miles,0,8,50,1.7,132,2.12,1.71,0.74,50933,4.71,228,2.36,228,2.36,1398,3.15,1398,3.15,1,0,1,V,1,0,0,1,1,1,1,0,1,0,50,50,1,-33.20833333,41.04166667,32.54166667,225.125,74.25,192.5833333,9001915.141,0.00529449,1.38017,2.06185,0.957191,0.0974938,0.242885,33.733,1.45681,5.24838,27.2342,3.81661,-0.052854368
capitaneus,0,9,55,1.74,98,1.99,1.59,0.85,52224,4.72,160,2.2,160,2.2,2818,3.45,4800,3.68,1,0,1,V,1,0,0,1,1,1,1,0,1,0,240,240,1,-34.04166667,41.04166667,26.54166667,204.9583333,75.08333334,178.4166666,7563813.68,0.00489106,1.23123,1.96469,0.903489,0.101747,0.226074,33.6287,1.12133,5.49417,27.0548,4.10839,-0.1034945
vexillum,0,10,65,1.81,183,2.26,1.74,0.75,136288.9,5.13,130,2.11,143,2.16,34500,4.54,53500,4.73,1,0,1,V,1,0,0,1,1,1,0,0,1,0,70,70,1,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9220990.999,0.0052404,1.3744,2.04676,0.959591,0.0969364,0.241864,33.835,1.59845,5.25005,27.263,3.7867,0.073161842
rattus,0,11,30,1.48,63,1.8,1.64,0.72,17472.4,4.24,124,2.09,175,2.24,2000,3.3,7500,3.88,1,0,1,V,1,0,0,1,1,1,1,0,1,0,15,15,1,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9220990.999,0.0052404,1.3744,2.04676,0.959591,0.0969364,0.241864,33.835,1.59845,5.25005,27.263,3.7867,-0.022226626
lorenzianus,1,12,37,1.57,90,1.95,1.84,0.68,72791.91,4.86,690,2.84,1077,3.03,20,1.3,83,1.92,"1,2",1,0,V,1,0,0,1,0,0,1,1,1,0,64,64,1,7.875,28.45833333,271.0416667,300.5416667,20.58333333,29.5,593979.8035,0.00510737,2.36051,4.96937,1.39492,0.0904469,0.130369,35.9262,0.607299,3.0232,27.7192,1.24903,0.363348203
pulicarius,0,13,35,1.54,75,1.88,1.55,0.74,37845,4.58,150,2.18,175,2.24,1500,3.18,3350,3.53,1,0,1,V,1,0,0,1,0,0,0,0,0,0,75,75,1,-33.20833333,41.04166667,96.875,225.125,74.25,128.25,6202678.593,0.00526166,1.26698,2.00256,0.96179,0.0976203,0.229835,33.5859,1.05493,5.43346,26.7056,4.3922,-0.094445406
cinereus,0,14,30,1.48,57,1.76,2,0.75,27648,4.44,521,2.72,521,2.72,161,2.21,203,2.31,1,1,0,P,0,0,1,1,0,0,0,0,0,2,10,8,0,-25.375,35.79166667,96.875,169.875,61.16666667,73,3746713.33,0.0041837,1.18286,2.02889,0.79658,0.0989232,0.216728,33.4471,0.790681,5.11695,27.8201,3.2967,0.133820558
quercinus,0,15,60,1.78,140,2.15,1.61,0.71,587794.79,5.77,163,2.21,215,2.33,883,2.95,9700,3.99,1,0,1,V,1,0,0,1,0,0,0,1,1,2,70,68,0,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9220990.999,0.0052404,1.3744,2.04676,0.959591,0.0969364,0.241864,33.835,1.59845,5.25005,27.263,3.7867,0.090470705
